time,phi,sigma,Maximum r for Alpha (percent),Maximum r for Beta (percent),Maximum r for Gamma (percent),Maximum r for Delta (percent),Maximum r for Epsilon (percent),Maximum r for Zeta (percent),Maximum r for Eta (percent),Maximum r for Theta (percent),Alpha vs Beta (percent),Alpha vs Beta (percent),Alpha vs Beta (percent),Alpha vs Gamma (percent),Alpha vs Gamma (percent),Alpha vs Gamma (percent),Alpha vs Epsilon (percent),Alpha vs Epsilon (percent),Alpha vs Epsilon (percent),Beta vs Delta (percent),Beta vs Delta (percent),Beta vs Delta (percent),Beta vs Zeta (percent),Beta vs Zeta (percent),Beta vs Zeta (percent),Gamma vs Delta (percent),Gamma vs Delta (percent),Gamma vs Delta (percent),Gamma vs Eta (percent),Gamma vs Eta (percent),Gamma vs Eta (percent),Delta vs Theta (percent),Delta vs Theta (percent),Delta vs Theta (percent),Epsilon vs Zeta (percent),Epsilon vs Zeta (percent),Epsilon vs Zeta (percent),Epsilon vs Eta (percent),Epsilon vs Eta (percent),Epsilon vs Eta (percent),Zeta vs Theta (percent),Zeta vs Theta (percent),Zeta vs Theta(percent),Eta vs Theta (percent),Etavs Theta (percent),Eta vs Theta(percent),Maximum w for Alpha,Maximum w for Beta,Maximum w for Gamma,Maximum w for Delta,Maximum w for Epsilon,Maximum w for Zeta,Maximum w for Eta,Maximum w for Theta,Alpha vs Beta,Alpha vs Beta,Alpha vs Beta,Alpha vs Gamma,Alpha vs Gamma,Alpha vs Gamma,Alpha vs Epsilon,Alpha vs Epsilon,Alpha vs Epsilon,Beta vs Delta,Beta vs Delta,Beta vs Delta,Beta vs Zeta,Beta vs Zeta,Beta vs Zeta,Gamma vs Delta,Gamma vs Delta,Gamma vs Delta,Gamma vs Eta,Gamma vs Eta,Gamma vs Eta,Delta vs Theta,Delta vs Theta,Delta vs Theta,Epsilon vs Zeta,Epsilon vs Zeta,Epsilon vs Zeta,Epsilon vs Eta,Epsilon vs Eta,Epsilon vs Eta,Zeta vs Theta,Zeta vs Theta,Zeta vs Theta,Eta vs Theta,Eta vs Theta,Eta vs Theta

48.375853380000,0.050000000000,0.100000000000,297.962394666328,294.073869398223,232.880969439056,232.689684663953,144.875786202585,149.903325132946,144.862346595695,149.715314188685,271.790305173180,Inf,Inf,90.461950738051,Inf,Inf,81.067983692897,Inf,Inf,82.757612651159,Inf,Inf,82.757612582090,Inf,Inf,208.973076619003,Inf,Inf,81.074178180556,Inf,Inf,82.757612582220,Inf,Inf,Inf,Inf,Inf,90.274858997731,Inf,Inf,82.757612643350,Inf,Inf,Inf,Inf,Inf,0.675858797211,1.585077385904,0.676113694700,1.642923688272,0.909252758766,1.586667766324,0.909577799771,1.646584248594,0.096120413427,Inf,Inf,0.383465328630,Inf,Inf,0.405892761901,Inf,Inf,1.069387418128,Inf,Inf,1.069387418534,Inf,Inf,0.165859477881,Inf,Inf,0.405957909884,Inf,Inf,1.069387418616,Inf,Inf,Inf,Inf,Inf,0.347570877191,Inf,Inf,1.069387418167,Inf,Inf,Inf,Inf,Inf








time,phi,sigma,Maximum r for Alpha (percent),Maximum r for Beta (percent),Maximum r for Gamma (percent),Maximum r for Delta (percent),Maximum r for Epsilon (percent),Maximum r for Zeta (percent),Maximum r for Eta (percent),Maximum r for Theta (percent),Alpha vs Beta (percent),Alpha vs Beta (percent),Alpha vs Beta (percent),Alpha vs Gamma (percent),Alpha vs Gamma (percent),Alpha vs Gamma (percent),Alpha vs Epsilon (percent),Alpha vs Epsilon (percent),Alpha vs Epsilon (percent),Beta vs Delta (percent),Beta vs Delta (percent),Beta vs Delta(percent),Beta vs Zeta (percent),Beta vs Zeta (percent),Beta vs Zeta (percent),Gamma vs Delta (percent),Gamma vs Delta (percent),Gamma vs Delta (percent),Gamma vs Eta (percent),Gamma vs Eta (percent),Gamma vs Eta (percent),Delta vs Theta (percent),Delta vs Theta (percent),Delta vs Theta (percent),Epsilon vs Zeta (percent),Epsilon vs Zeta (percent),Epsilon vs Zeta (percent),Epsilon vs Eta (percent),Epsilon vs Eta (percent),Epsilon vs Eta (percent),Zeta vs Theta (percent),Zeta vs Theta (percent),Zeta vs Theta(percent),Eta vs Theta (percent),Eta vs Theta (percent),Eta vs Theta(percent),Maximum w for Alpha,Maximum w for Beta,Maximum w for Gamma,Maximum w for Delta,Maximum w for Epsilon,Maximum w for Zeta,Maximum w forEta,Maximum w for Theta,Alpha vs Beta,Alpha vs Beta,Alpha vs Beta,Alpha vs Gamma,Alpha vs Gamma,Alpha vs Gamma,Alpha vs Epsilon,Alpha vs Epsilon,Alpha vs Epsilon,Beta vs Delta,Betavs Delta,Beta vs Delta,Beta vs Zeta,Beta vs Zeta,Beta vs Zeta,Gamma vs Delta,Gamma vs Delta,Gamma vs Delta,Gamma vs Eta,Gamma vs Eta,Gamma vs Eta,Delta vs Theta,Delta vs Theta,Delta vs Theta,Epsilon vs Zeta,Epsilon vs Zeta,Epsilon vs Zeta,Epsilon vs Eta,Epsilon vs Eta,Epsilon vs Eta,Zeta vs Theta,Zeta vs Theta,Zeta vs Theta,Eta vs Theta,Eta vs Theta,Eta vs Theta
0.000000000000,0.050000000000,0.100000000000,297.962394666328,294.073869398223,232.880969439056,232.689684663953,144.875786202585,149.903325132946,144.862346595695,149.715314188685,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,-4.611713235003,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,20.823495980446,Inf,Inf,0.060171059972,0.017468547373,0.058536216734,0.013078110286,0.016336629333,0.017445966522,0.016250767069,0.013051106648,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0.017491645481,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0.011934712806,Inf,Inf
0.301507537688,0.050000000000,0.100000000000,297.962394666328,294.073869398223,232.880969439056,232.689684663953,144.875786202585,149.903325132946,144.862346595695,149.715314188685,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,-4.714572787175,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,20.691073782933,Inf,Inf,0.061085033315,0.017992829874,0.059452246457,0.013478343740,0.016805089074,0.017969656329,0.016717079735,0.013450599594,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0.018018353626,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0.012307412296,Inf,Inf
0.603015075377,0.050000000000,0.100000000000,297.962394666328,294.073869398223,232.880969439056,232.689684663953,144.875786202585,149.903325132946,144.862346595695,149.715314188685,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,-4.819243271303,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,20.556307546087,Inf,Inf,0.062012889533,0.018532690895,0.060382214452,0.013890824315,0.017286551067,0.018508910848,0.017196348060,0.013862320976,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0.018560820983,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0.012691879693,Inf,Inf
