
time,Alpha max r (percent),Beta max r (percent),Gamma max r (percent),Delta max r (percent),Alpha vs Beta r (percent),Alpha vs Beta r (Percent),Alpha vs Gamma r (percent),Alpha vs Gamma r (Percent),Beta vs Delta r (percent),Beta vs Delta r (Percent),Delta vs Gamma r (percent),Delta vs Gamma r (percent),Alpha max w,Beta max w,Gamma max w,Delta max w,Alpha vs Beta w,Alpha vs Beta w,Alpha vs Gamma w,Alpha vs Gamma w,Beta vs Delta w,Beta vs Delta w,Delta vs Gamma w,Delta vs Gamma w
0.000000000000,226.237921249264,275.293312520401,183.758231330762,139.110082431020,46.580866194005,166.876042809365,73.889009542899,Inf,73.544101360913,Inf,67.616867527226,Inf,0.377617426379,0.474666667845,0.382386591753,0.798829956259,0.296709028173,0.095468036279,0.250071494903,Inf,0.232830993158,Inf,0.261518043024,Inf
0.050505050505,226.237921249264,275.293312520401,183.758231330762,139.110082431020,46.480220001768,166.909537951499,70.599680681355,Inf,70.335415345001,Inf,64.776669605545,Inf,0.393187117290,0.493989499662,0.397895744812,0.802712475761,0.309122843385,0.099347507247,0.266199749175,Inf,0.249347217545,Inf,0.277252332690,Inf
0.101010101010,226.237921249264,275.293312520401,183.758231330762,139.110082431020,46.375990817437,166.944186156424,67.129443055379,Inf,66.939482968367,Inf,61.865030975186,Inf,0.409398768181,0.514089714375,0.414024430328,0.806613865309,0.322062607391,0.103382556530,0.283575760933,Inf,0.267492614687,Inf,0.293969426764,Inf
0.151515151515,226.237921249264,275.293312520401,183.758231330762,139.110082431020,46.268053149426,166.980025009403,63.468052049731,Inf,63.343883908317,Inf,58.886158500021,Inf,0.426278847952,0.534997871352,0.430796661719,0.810534216616,0.335551107642,0.107579265408,0.302310530961,Inf,0.287492533334,Inf,0.311721054351,Inf
0.202020202020,226.237921249264,275.293312520401,183.758231330762,139.110082431020,46.156277249721,167.017093173685,59.604811043764,Inf,59.535480843915,Inf,55.844867459541,Inf,0.443854916854,0.556745675802,0.448237326556,0.814473621840,0.349612156792,0.111943940946,0.322525589600,Inf,0.309614150309,Inf,0.330559911185,Inf
0.252525252525,226.237921249264,275.293312520401,183.758231330762,139.110082431020,46.040528978436,167.055430411161,55.528576826563,Inf,55.500441485832,Inf,52.746542397031,Inf,0.462155671486,0.579366017441,0.466372214007,0.818432173590,0.364270641575,0.116483123484,0.344353971123,Inf,0.334176441467,Inf,0.350539552250,Inf
0.303030303030,226.237921249264,275.293312520401,183.758231330762,139.110082431020,45.920669664595,167.095077602640,51.227768767427,Inf,51.224284332485,Inf,49.597083378172,Inf,0.481210991647,0.602893010105,0.485228042794,0.822409964921,0.379552574214,0.121203594312,0.367941267317,Inf,0.361563119573,Inf,0.371714304164,Inf
0.353535353535,226.237921249264,275.293312520401,183.758231330762,139.110082431020,45.796555963051,167.136076767716,46.690381841029,Inf,46.691954852665,Inf,46.402838992791,Inf,0.501051989121,0.627362032341,0.504832489652,0.826407089343,0.395485146486,0.126112383520,0.393446765472,Inf,0.392239620965,Inf,0.394139203023,Inf
0.404040404040,226.237921249264,275.293312520401,183.758231330762,139.110082431020,45.668039707477,167.178471084115,41.904003495725,Inf,41.887939873855,Inf,43.170528131327,Inf,0.521711058476,0.652809768938,0.525214218249,0.830423640821,0.412096786608,0.131216778037,0.421044676482,Inf,0.426775699486,Inf,0.417869962335,Inf
0.454545454545,226.237921249264,275.293312520401,183.758231330762,139.110082431020,45.534967759343,167.222304906462,36.855834225732,Inf,36.796428922481,Inf,39.907153147447,Inf,0.543221929952,0.679274253400,0.546402908556,0.834459713774,0.429417219093,0.136524329835,0.450925459405,Inf,0.465875913490,Inf,0.442962974309,Inf
0.505050505051,226.237921249264,275.293312520401,183.758231330762,139.110082431020,45.397181852797,167.267623784382,31.532711567839,Inf,31.401531937610,Inf,36.619907427600,Inf,0.565619724531,0.706794911354,0.568429286630,0.838515403082,0.447477527754,0.142042864324,0.483297249607,Inf,0.510421425528,Inf,0.469475346236,Inf
0.555555555556,226.237921249264,275.293312520401,183.758231330762,139.110082431020,45.254518435379,167.314474479832,25.921137096967,Inf,25.687562906976,Inf,33.316080594350,Inf,0.588941011286,0.735412604855,0.591325154762,0.842590804085,0.466310222036,0.147780488901,0.518387398575,Inf,0.561528343858,Inf,0.497464972069,Inf
0.606060606061,226.237921249264,275.293312520401,183.758231330762,139.110082431020,45.106808504469,167.362904983586,20.007305850228,Inf,19.639398213052,Inf,30.002964562196,Inf,0.613223867082,0.765169677585,0.615123421978,0.846686012588,0.485949306859,0.153745601686,0.556444134732,Inf,0.620630799879,Inf,0.526990637840,Inf
0.656565656566,226.237921249264,275.293312520401,183.758231330762,139.110082431020,44.953877439406,167.412964530766,13.777137474891,Inf,13.242916410341,Inf,26.687763454323,Inf,0.638507938746,0.796110000903,0.639858134813,0.850801124860,0.506430356190,0.159946900408,0.597738355925,Inf,0.689601958085,Inf,0.558112158231,Inf
0.707070707071,226.237921249264,275.293312520401,183.758231330762,139.110082431020,44.795544829185,167.464703615303,7.216308281665,Inf,6.485522324106,Inf,23.377510007956,Inf,0.664834507798,0.828279020721,0.665564508337,0.854936237638,0.527790590547,0.166393391457,0.642565565967,Inf,0.770934879589,Inf,0.590890540616,Inf
0.757575757576,226.237921249264,275.293312520401,183.758231330762,139.110082431020,44.631624295635,167.518174003237,0.310283299615,Inf,Inf,Inf,20.078990590454,Inf,0.692246557854,0.861723805164,0.692278957360,0.859091448130,0.550068958677,0.173094399082,0.691247969449,Inf,Inf,Inf,0.625388172211,Inf
0.808080808081,226.237921249264,275.293312520401,183.758231330762,139.110082431020,44.461923312020,167.573428744728,Inf,Inf,Inf,Inf,16.798680370539,Inf,0.720788844802,0.896493092978,0.720039127762,0.863266854016,0.573306223645,0.180059574744,Inf,Inf,Inf,Inf,0.661669025694,Inf
0.858585858586,226.237921249264,275.293312520401,183.758231330762,139.110082431020,44.286243016940,167.630522184652,Inf,Inf,Inf,Inf,13.542689591614,Inf,0.750507969879,0.932637342618,0.748883927874,0.867462553452,0.597545053594,0.187298906596,Inf,Inf,Inf,Inf,0.699798878602,Inf
